DATE,VIX
17/12/2018,24.52
18/12/2018,25.58
19/12/2018,25.58
20/12/2018,28.38
21/12/2018,30.11
24/12/2018,36.07
26/12/2018,30.41
27/12/2018,29.96
28/12/2018,28.34
31/12/2018,25.42
02/01/2019,23.22
03/01/2019,25.45
04/01/2019,21.38
07/01/2019,21.4
08/01/2019,20.47
09/01/2019,19.98
10/01/2019,19.5
11/01/2019,18.19
14/01/2019,19.07
15/01/2019,18.6
16/01/2019,19.04
17/01/2019,18.06
18/01/2019,17.8
22/01/2019,20.8
23/01/2019,19.52
24/01/2019,18.89
25/01/2019,17.42
28/01/2019,18.87
29/01/2019,19.13
30/01/2019,17.66
31/01/2019,16.57
01/02/2019,16.14
04/02/2019,15.73
05/02/2019,15.57
06/02/2019,15.38
07/02/2019,16.37
08/02/2019,15.72
11/02/2019,15.97
12/02/2019,15.43
13/02/2019,15.65
14/02/2019,16.22
15/02/2019,14.91
19/02/2019,14.88
20/02/2019,14.02
21/02/2019,14.46
22/02/2019,13.51
25/02/2019,14.85
26/02/2019,15.17
27/02/2019,14.7
28/02/2019,14.78
01/03/2019,13.57
04/03/2019,14.63
05/03/2019,14.74
06/03/2019,15.74
07/03/2019,16.59
08/03/2019,16.05
11/03/2019,14.33
12/03/2019,13.77
13/03/2019,13.41
14/03/2019,13.5
15/03/2019,12.88
18/03/2019,13.1
19/03/2019,13.56
20/03/2019,13.91
21/03/2019,13.63
22/03/2019,16.48
25/03/2019,16.33
26/03/2019,14.68
27/03/2019,15.15
28/03/2019,14.43
29/03/2019,13.71
